Latijnse naam	Nederlandse naam	Comments on phytoremedial effectiveness	Continent-Country-City-Site	Reference (author, year)	Extractor/excluder	AI comment (berm Genk, droog zand)
Betula pendula	ruwe berk	"Bladeren en hout accumuleren Cd, Zn en Pb sterk; toegepast in studies op mijnstortplaatsen en industriezones. Ook zeer effectief in PM-opvang; experimentele blootstelling toonde dikke stoflagen en in-wax accumulatie op bladeren. aloki.hu+3PubMed+3iForest+3"	"Europa, Finland; Polen; Tsjechië; goudmijnlocaties"	"Jurkovi? et al., 2022; Capuana, 2011; ?ukowski, Popek, & Karolewski, 2020"		"Sterke, inheemse berk; kan vrij droge zandbodems aan en is goed bruikbaar in open bermen, al is hij gevoelig voor stormschade op hoge leeftijd."
Betula pubescens	zachte berk	"Gebruik als bio-indicator op metaalverontreinigde heide- en boslocaties; bladweefsel vertoont duidelijk verhoogde Cd, Pb, Zn t.o.v. referentiegebieden en laat goede metaalopname zien. ScienceDirect"	Europa, Noorwegen	Nordløkken et al., 2015		"Liever vochtiger, zuur zand of veen; minder goed geschikt voor echt droge bermen dan ruwe berk."
Castanea sativa	tamme kastanje	"Kastanjebladeren en -vruchten accumuleren As, Hg, Tl en Pb; recent voorgesteld als biomonitor voor zware metalen in mediterrane kastanjebossen. ScienceDirect+1"	Europa, Italië & Turkije	Traversari et al., 2024		"Warmteminnende boom die droge, zure zandbodems kan verdragen; geschikt op brede bermen met voldoende ruimte en diepte."
Cytisus scoparius	gewone brem	"In een real-scale project op een historisch met metalen en koolwaterstoffen vervuilde industriële site droeg C. scoparius bij aan afbouw van metalen en petroleum-koolwaterstoffen; latere evaluaties geven aan dat de soort vooral bodem-biologische activiteit en degradatie van organische verontreiniging stimuleert. PubMed+3PubMed+3Taylor & Francis Online+3"	Europa, Italië, Calenzano (voormalige fabrieksterreinen)	"Macci et al., 2013, 2016, 2020; Lago-Vila et al., 2019"		"Karaktersoort van droge heiden en zandgrond; zeer geschikt voor zonnige, arme bermen rond Genk."
Hippophae rhamnoides	(gewone) duindoorn	"Talrijke studies tonen sterke accumulatie van Pb, Zn, Cd en andere metalen op mijnstortplaatsen en tailings; zowel wortels als bovengrondse delen nemen metalen op, met geslachts- en mycorrhiza-afhankelijke verschillen in fytoremediatiecapaciteit. ScienceDirect+2PubMed+2"	Azië & Europa, China (magnetiet-tailings bij Chengde), Oost-Europa	"Wang et al., 2024; Sharma et al., 2025; Mammadova, 2025"		"Zeerkust-soort, maar ook geschikt als zeer droogte- en zouttolerante struik op arme zandhellingen; sterk en ecologisch waardevol."
Lavandula angustifolia	echte lavendel	"In een recente studie op sterk metaalverontreinigde stedelijke sites (Baia Mare) bleek L. angustifolia opmerkelijk hoge bladconcentraties van Pb en Cu te bereiken, hoger dan veel andere onderzochte soorten; daarmee interessant voor fyto-extractie/monitoring van atmosferische metalen. Sropaj"	Europa, Roemenië, Baia Mare	Cri?an et al., 2025		"Mediterraan halfheestertje dat van warme, droge, kalkrijke zandbodems houdt; zeer geschikt voor zonnige, schrale taluds maar niet inheems."
Ligustrum vulgare	wilde liguster	"Bladeren langs drukke wegen tonen sterk verhoogde Pb, Cd en andere metaalgehalten; meerdere studies beoordelen L. vulgare als efficiënte accumulator/biomonitor voor verkeersgerelateerde metaal-emissies en als potentieel fytoremediatie-element in stedelijke groenzones. Un-Pub+3Basu Research System+3PubMed+3"	Azië, Iran (Shahinshahr) & Europa, Turkije	"Nael & Matinkhah, 2017; Sevik et al., 2020"		"Inheemse haagplant; zeer geschikt op droge zandgrond, verdraagt snoei, wind en luchtvervuiling en is erg insectvriendelijk."
Myrica gale	gagel	"Wordt in reviews genoemd als soort die op metaalrijke bodems voorkomt; de Frankia-symbiose en wortelchemie zijn onderzocht in de context van metaalhomeostase, wat wijst op potentieel voor fytostabilisatie in zure, metaalrijke wetlands. Green Service+4NPH Online Library+4FloraVeg+4"	Europa, Noordwest-Europa (veen- en bog-ecosystemen)	"Broadley et al., 2001; Furnholm et al., 2014"		"Struik van natte heiden en veen; houdt van zure, vochtige tot natte bodems – ongeschikt voor droge berm, eerder voor natte laagtes."
Pinus sylvestris	grove den	"Naalden worden zeer vaak gebruikt om zware metalen uit luchtvervuiling te monitoren; vele studies tonen sterke accumulatie van Pb, Zn, Cd en Cu rond snelwegen en industrie. Soort is daarmee geschikt voor biomonitoring en draagt via naaldoppervlak bij aan verwijdering van atmosferische metalen. ScienceDirect+5PMC+5aloki.hu+5"	Europa & Azië, o.a. Polen, Turkije, Kazachstan	"Kandziora-Ciupa et al., 2016; Ar?cak et al., 2019; Serbula et al., 2013; Paj?k et al., 2017"		"Inheemse den, zeer geschikt voor droge, arme zandgrond; vormt typisch “dennenbos-gevoel” in brede bermen en taluds."
Populus nigra	zwarte populier	"Veel gebruikt in real-scale projecten op historisch met metalen en olie vervuilde sites; Macci et al. rapporteren na meerdere jaren beplanting duidelijke dalingen in totale petroleum-koolwaterstoffen en sommige metalen. Wordt daarnaast genoemd als geschikte soort voor PFAS-phytoscreening en verwijdering uit afvalwater. PubMed+7PubMed+7Taylor & Francis Online+7"	"Europa, Italië; Roemenië; PFAS-sites in Noord-Europa"	"Macci et al., 2013, 2016, 2020; Di Stasio et al., 2025; Nassazzi et al., 2025"		"Inheemse populier van rivierdalen; houdt van vochthoudende bodem – op droge bermen minder geschikt, tenzij grondwater relatief hoog staat."
Populus tremula	ratelpopulier	"Wordt expliciet als kandidaat-fytoremediator genoemd voor bodems met zowel metalen als petroleum-koolwaterstoffen; veld- en kasstudies tonen overleving en groei op vervuilde bodems en significante reducties in TPH en metalen t.o.v. controles, vooral bij bepaalde klonen en hogere plantdichtheid. ScienceDirect+5MDPI+5MDPI+5"	"Europa, Finland; experimenten op PHC-verontreinigde sedimenten"	"Salam et al., 2020, 2022, 2024; López-Echartea et al., 2020"		"Inheemse, snelle groeier voor lichte, zandige bodems; kan droogte aan maar wortelt sterk – niet te dicht bij verharding of leidingen."
Quercus petraea	wintereik	"Vergelijkbare patronen als Q. robur; ringonderzoek toont accumulatie van Zn, Cd, Pb en Cu over verschillende decennia, in relatie tot regionale luchtvervuiling; bruikbaar voor biomonitoring en langetermijn-stabilisatie van metalen in biomassa. SpringerLink+5ScienceDirect+5SpringerLink+5"	"Europa, Polen; Finland"	"Opydo & Fornal, 2005; Stojni? et al., 2019"		"Inheemse eik, goed droogtetolerant; zeer geschikt voor arme zandbodems en vormt waardevolle laan- of bermboom."
Quercus robur	zomereik	"Hout, schors en bladeren tonen duidelijke historische en huidige accumulatie van Zn, Cd, Pb en Cu; gebruikt om temporele trends in luchtvervuiling te reconstrueren. Bladeren accumuleren ook aanzienlijke hoeveelheden PM, vaak minder dan Betula maar vergelijkbaar met Tilia. MDPI+5ScienceDirect+5SpringerLink+5"	"Europa, Polen; Duitsland; Scandinavië"	"Kardell & Larsson, 1978; Opydo & Fornal, 2005; Krutul et al., 2014; ?ukowski et al., 2020"		"Dé klassieke inheemse eik; doet het goed op arme zandbodems en is ecologisch zeer waardevol voor insecten en vogels."
Symphoricarpos albus	sneeuwbes	Recent veldwerk op historisch met zware metalen verontreinigde bodems toont dat S. albus samen met H. rhamnoides effectief is in fyto-stabilisatie: significante reductie van bio-beschikbare Zn, Pb en Cd in de wortelzone en goede bodembedekking voor erosiecontrole. American Society of Reclamation Sciences+3Paradigm+3Paradigm+3	Europa, Polen (historische zink-/loodsites) & Noord-Amerika (mijnterreinen)	"Majgier, Rahmonov, & Sk?adowska, 2024/2025; Majerus, 2004"		"Zeer sterke, droogte- en schaduwtolerante heester; ideaal voor moeilijke bermen maar invasieve exoot met beperkte natuurwaarde."
Rosa canina	hondsroos	"Vruchten en bladeren op wegbermen en in hydrothermaal verontreinigde gebieden bevatten verhoogde Pb, Cd en andere metalen; soort wordt gebruikt als bio-indicator en heeft reële opname in eetbare vruchten (relevant voor risicobeoordeling), maar is daarmee óók een metaalaccumulator. SciSpace+3Selçuk University Open Access+3SpringerLink+3"	Azië, Turkije (Van-regio, Gümü?hane), wegbermen bij Konya	"Levent et al., 1998; Vural, 2015; Ayd?n & Turhan, 2022"		"Inheemse, sterke roos voor hagen en ruige bermen; houdt van droge tot matig droge zandbodems en is zeer aantrekkelijk voor fauna."
Rosa spinosissima	duinroos / stekelroos	"In veldopstellingen op metaalverontreinigde bodems accumuleert S. cinerea hoge Cd- en Zn-gehalten, vooral in wortels; diverse Salix-soorten (incl. S. alba, S. caprea) worden intensief gebruikt voor fyto-extractie en -stabilisatie van metalen én voor PFAS-remediatie (significante PFAS-opname in hydroponische en veldstudies). Sropaj+8Pure Portal+8Universiteit Gent+8"	Europa, België & Italië (metaalverontreinigde bodems), PFAS-sites in Scandinavië	"Vervaeke, 2001; Vandecasteele et al., 2002; Salam et al., 2025; Sharma et al., 2020; Nassazzi et al., 2025"		"Lage, stekelige roos van duinen; zeer geschikt voor droge, kalkrijke zandbodems en hellingen."
Taxus cuspidata	Japanse taxus					"Exotische taxus; vergelijkbaar gebruik als T. baccata, maar niet inheems en minder interessant voor natuurdoelen."
Sambucus nigra	gewone vlier	"Bloemen en bladeren accumuleren een reeks metalen (Cr, Mn, Fe, Cu, Zn; ook Pb en Sb nabij mijngebieden). Studies tonen hogere concentraties op sterk antropogeen belaste locaties en suggereren S. nigra als goede bio-indicator en kandidaat voor fyto-stabilisatie. Hr?ak+5PubMed+5MDPI+5"	Europa, Polen, Kosovo, Slowakije, Turkije	"Topolska et al., 2020; Figas et al., 2024; Molnárová et al., 2018; Karavin & Duran, 2017"		"Groeit bijna overal; op droge, arme bermen redt hij zich, maar blijft compacter dan op rijke grond – veel waarde voor fauna."
Sorbus aria	meelbes	"Wordt in windtunnel- en veldstudies genoemd als een van de meest effectieve soorten voor het vangen van PM10 en grovere deeltjes; Freer-Smith et al. rapporteerden hoge depositiesnelheden vergeleken met andere laanbomen. SpringerLink+3ScienceDirect+3Air Unimi+3"	Europa, UK, stedelijke lanen	"Freer-Smith, Beckett, & Taylor, 2005; Beckett, Freer-Smith, & Taylor, 2000"		"Boom voor droge, kalkrijke hellingen; doet het goed op arme zandbodems en is zeer geschikt voor zonnige bermen."
Sorbus aucuparia	(wilde) lijsterbes	"Zowel klonen in potproeven als bomen in sterk vervuilde steden laten opname van Cd, Pb en Mn zien; relatief lagere bovengrondse concentraties dan bij sommige andere soorten (meer fytostabilisatie), maar recente studies op Pb/Zn-sites tonen dat S. aucuparia zeer efficiënt Pb in bladeren kan accumuleren. PMC+6ResearchGate+6Journal of Forest Science+6"	"Europa, Tsjechië; Rusland (Orenburg); Roemenië (Baia Mare); Scandinavië"	"Malá et al., 2007; Parzych & Sobisz, 2015; Pokhodnya et al., 2025; Cri?an et al., 2025"		"Inheemse boom voor arme, zure tot neutrale zandbodems; verdraagt droogte en geeft bessen voor vogels – zeer geschikt langs wegen."
Tilia cordata	winterlinde	"Bladeren vangen grote hoeveelheden PM10 (vaak in de topgroep bij interspecies-vergelijkingen); PM op T. cordata bevat zware metalen en PAH’s. SEM-EDS-studies in Parma tonen sterke depositie van verkeers- en spoorgerelateerde deeltjes; daarnaast worden bloemen gebruikt om metaalgehalten in kruidgrondstof te monitoren. SpringerLink+7Taylor & Francis Online+7MDPI+7"	Europa, Italië (Parma), Polen (meerdere steden)	"Mantovani et al., 2018; ?ukowski et al., 2020; Bui et al., 2022; Figas et al., 2025"		"Inheemse linde; verdraagt redelijk droge zandbodems, vooral als de bodem enigszins diep en humusrijk is – goede laanboom met hoge natuurwaarde."
Ulmus	iep (soort onbekend)	"In de riparische zone van de Sava-rivier bleek U. glabra geschikt voor fytostabilisatie van Cu, Zn, Ni en Pb; metalen werden vooral vastgehouden in wortels en lagere stamdelen, met beperkte translokatie naar bladeren, wat risico voor voedselketen beperkt. OpenPub+3ResearchGate+3SciSpace+3"	Europa, Servië (Sava-rivier)	"Mataruga et al., 2020; Thomas et al., 2018; Yap et al., 2022"		"Algemeen: iepen kunnen goed tegen wind en snoei; op droge zandbermen bruikbaar als laanboom, maar kies ziekteresistente rassen."
Vaccinium myrtillus	blauwe bosbes	"Bladeren en vruchten accumuleren Cd, Pb, Zn en andere metalen en worden veel gebruikt als bio-indicator in bos-ecosystemen langs wegen en industriële bronnen; meerdere studies tonen hoge toleranties en duidelijke respons op gradiënten in metaaldepositie. Semantic Scholar+7Nature+7MDPI+7"	Europa, Polen, Finland, Slowakije	"Kandziora-Ciupa et al., 2013, 2017, 2022; Warczyk et al., 2024; Parzych, 2014"		"Struikje van zure, humusrijke heide- en bosbodems; houdt niet van kalkrijk, droog bermzand – alleen geschikt op zure, licht beschaduwde locaties."
